Source,Target,Weight
547,607,1
1625,1625,1
1625,1625,1
1,993,1
1159,56,1
1625,1625,1
1625,1625,1
1226,1226,1
415,1092,1
1159,643,1
1,993,1
1625,1625,1
1159,620,1
1159,1558,1
1159,1629,1
1159,1937,1
341,56,1
1625,1625,1
547,453,1
1625,1625,1
1159,1127,1
1159,1386,1
1159,1741,1
1159,72,1
1,993,1
1159,1968,1
1625,1625,1
1625,1625,1
1159,1599,1
1159,1480,1
1159,844,1
1625,1625,1
1625,1625,1
1159,991,1
1159,1274,1
1159,2018,1
1159,1601,1
632,993,1
1625,1625,1
1127,453,1
1625,1625,1
1625,1625,1
1159,340,1
1625,1625,1
1223,993,1
1625,1625,1
1159,313,1
1159,1748,1
1159,1629,1
1625,1625,1
1,993,1
1159,1987,1
1625,1625,1
1625,1625,1
1550,1748,1
1625,1625,1
1625,1625,1
1625,1625,1
1159,1277,1
1159,1770,1
1159,1881,1
1625,1625,1
1159,1632,1
1625,1625,1
1007,278,1
1159,1929,1
1159,56,1
1159,1786,1
1625,1625,1
1159,1105,1
1159,1629,1
1159,278,1
1159,487,1
1625,1625,1
815,815,1
815,815,1
1625,1625,1
1625,1625,1
1000,246,1
1625,1625,1
1000,895,1
1000,246,1
1651,1651,1
1625,1625,1
1625,1625,1
1000,895,1
1625,1625,1
1159,1748,1
1625,1625,1
1625,1625,1
547,453,1
1625,1625,1
1618,1159,1
1618,547,1
1,993,1
1625,1625,1
547,801,1
1159,1599,1
1625,1625,1
1159,453,1
1625,1625,1
1625,1625,1
341,56,1
341,56,1
1625,1625,1
1625,1625,1
1579,895,1
1625,1625,1
1900,246,1
1900,246,1
341,56,1
1159,1123,1
1159,1027,1
341,56,1
341,56,1
1625,1625,1
1625,1625,1
1625,1625,1
1625,1625,1
1625,1625,1
1159,1396,1
1575,453,1
1575,453,1
1575,453,1
1159,892,1
498,246,1
1625,1625,1
1476,246,1
453,1669,1
453,713,1
331,246,1
1625,1625,1
1625,1625,1
1159,934,1
1625,1625,1
1625,1625,1
1159,1558,1
1159,1048,1
1625,1625,1
331,246,1
1651,1651,1
1625,1625,1
1159,2027,1
1625,1625,1
1625,1625,1
1625,1625,1
1625,1625,1
498,246,1
1571,1571,1
498,246,1
1159,1219,1
1625,1625,1
1625,1625,1
1625,1625,1
1339,246,1
1625,1625,1
359,329,1
359,476,1
359,1768,1
359,1987,1
359,1550,1
256,246,1
1625,1625,1
1159,943,1
1159,620,1
1625,1625,1
1625,1625,1
1625,1625,1
1625,1625,1
498,246,1
256,246,1
1,453,1
1,278,1
498,246,1
1625,1625,1
1625,1625,1
1159,869,1
1063,246,1
1159,1587,1
1159,410,1
256,895,1
101,246,1
977,895,1
1159,1748,1
1159,1179,1
256,246,1
1906,1500,1
1906,730,1
1906,140,1
1906,449,1
1161,246,1
1130,246,1
331,246,1
1625,1625,1
1625,1625,1
498,246,1
498,246,1
1625,1625,1
359,895,1
1159,1403,1
1625,1625,1
498,246,1
1159,1039,1
1625,1625,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1625,1625,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1159,923,1
1159,1166,1
1159,1274,1
1159,1910,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1159,1610,1
1159,1587,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
256,246,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
839,839,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
1882,993,1
588,246,1
1874,1874,1
1159,1262,1
1159,468,1
1159,1748,1
1272,895,1
498,246,1
1847,246,1
897,1906,1
256,246,1
1729,246,1
1625,1625,1
498,246,1
1412,895,1
1625,1625,1
648,246,1
498,246,1
547,968,1
498,246,1
498,246,1
498,246,1
1043,895,1
1625,1625,1
919,246,1
1159,1648,1
1625,1625,1
1625,1625,1
1159,1070,1
675,1500,1
675,1952,1
991,895,1
675,895,1
1277,1669,1
1277,1277,1
1277,1669,1
1277,1277,1
1625,1625,1
498,246,1
675,1500,1
1827,895,1
498,246,1
498,246,1
547,1631,1
547,1521,1
498,246,1
1251,246,1
1669,313,1
1669,1669,1
1878,1669,1
1878,1878,1
1669,1669,1
1669,886,1
1,352,1
1,1669,1
1,1732,1
1,1669,1
1,1669,1
1,1593,1
1669,1669,1
1669,630,1
271,246,1
1669,1669,1
1669,1826,1
1669,750,1
1669,1669,1
1669,750,1
1669,1669,1
1669,1669,1
1669,1826,1
1,1669,1
1,254,1
1,1669,1
1,752,1
1,1669,1
1,1969,1
1669,1669,1
1669,1172,1
1,1669,1
1,1431,1
1,352,1
1,1669,1
1,1669,1
1,1969,1
1,1669,1
1,1969,1
1669,1669,1
1669,1160,1
1669,1669,1
1669,1160,1
1669,155,1
1669,1669,1
498,246,1
1763,246,1
1,1669,1
1,1431,1
1,1669,1
1,600,1
1669,1669,1
1669,1826,1
1669,1189,1
1669,1669,1
1,1669,1
1,1530,1
1,1669,1
1,1969,1
1878,1669,1
1878,1878,1
1669,1669,1
1669,2017,1
1,352,1
1,1669,1
505,246,1
1159,660,1
1401,246,1
1,1732,1
1,1669,1
1,1732,1
1,1669,1
1,1669,1
1,722,1
1016,895,1
1159,1654,1
498,246,1
836,246,1
836,825,1
498,246,1
1625,1625,1
498,246,1
1669,1669,1
1669,1818,1
1669,1669,1
1669,1160,1
545,895,1
498,246,1
811,246,1
1159,506,1
1343,246,1
1625,1625,1
1,1669,1
1,1969,1
1,1719,1
1,1669,1
1,1669,1
1,1235,1
1,1669,1
1,623,1
498,246,1
1908,895,1
1625,1625,1
1625,1625,1
1625,1625,1
1625,1625,1
1669,1669,1
1669,611,1
1,770,1
1,1669,1
1,455,1
1,1669,1
1669,1669,1
1669,120,1
1,1669,1
1,317,1
120,1669,1
120,120,1
1,1669,1
1,1431,1
1,1669,1
1,1431,1
1,1669,1
1,1260,1
1,1817,1
1,1669,1
1,1817,1
1,1669,1
1647,895,1
1398,1669,1
1398,1398,1
1669,1669,1
1669,1160,1
1669,1669,1
1669,1806,1
1,1669,1
1,1438,1
498,895,1
1624,1238,1
359,453,1
359,895,1
1625,1625,1
1625,1625,1
1,1669,1
1,448,1
1669,1669,1
1669,1734,1
1669,1669,1
1669,1734,1
1,1669,1
1,1969,1
1,1669,1
1,1225,1
1625,1625,1
1,1669,1
1,1824,1
850,246,1
498,246,1
1625,1625,1
1,758,1
1,1669,1
1,1669,1
1,1496,1
1669,1669,1
1669,1004,1
1669,1669,1
1669,1004,1
1669,1669,1
1669,1004,1
1669,1669,1
1669,278,1
1669,1669,1
1669,1878,1
850,869,1
520,56,1
520,246,1
1922,1288,1
1922,246,1
1922,1952,1
498,246,1
1669,1669,1
1669,1277,1
1669,1669,1
1669,1806,1
1,1669,1
1,1225,1
1669,1669,1
1669,1839,1
1,1719,1
1,1669,1
1669,313,1
1669,1669,1
1669,1669,1
1669,585,1
1669,1669,1
1669,1878,1
1,1669,1
1,1985,1
1,1669,1
1,1969,1
1669,750,1
1669,1669,1
1,1669,1
1,1475,1
1625,1625,1
1625,1625,1
1625,1625,1
1625,1625,1
1745,246,1
645,246,1
1272,895,1
520,246,1
1625,1625,1
1517,246,1
1625,1625,1
1625,1625,1
1,1719,1
1,1669,1
1,1719,1
1,1669,1
1,352,1
1,1669,1
1669,1669,1
1669,120,1
1159,869,1
498,246,1
1,352,1
1,1669,1
1,1669,1
1,612,1
1625,1625,1
1,1669,1
1,1448,1
2020,246,1
498,246,1
1273,1810,1
1669,1669,1
1669,120,1
1669,1120,1
1669,1669,1
1669,1669,1
1669,630,1
1596,246,1
1,1669,1
1,27,1
1625,1625,1
545,895,1
1669,1669,1
1669,1550,1
1669,659,1
1669,1669,1
1669,1669,1
1669,1586,1
595,246,1
1,352,1
1,1669,1
1,1669,1
1,1260,1
1627,246,1
1625,1625,1
1625,1625,1
1669,1669,1
1669,1277,1
1,1669,1
1,652,1
1669,1669,1
1669,1878,1
1,1669,1
1,1260,1
1145,246,1
1162,895,1
1669,1669,1
1669,1576,1
1736,246,1
1669,1770,1
1669,1669,1
1669,845,1
1669,1669,1
1669,1669,1
1669,1586,1
1159,1325,1
1145,246,1
787,246,1
1669,1669,1
1669,1839,1
331,246,1
1669,1120,1
1669,1669,1
1669,1120,1
1669,1669,1
1669,1120,1
1669,1669,1
520,56,1
520,246,1
498,246,1
1470,246,1
1,1669,1
1,1375,1
520,56,1
520,246,1
1625,1625,1
498,246,1
1625,1625,1
1625,1625,1
498,246,1
1625,1625,1
498,246,1
1669,1120,1
1669,1669,1
1669,1669,1
1669,1338,1
1669,1669,1
1669,1850,1
1669,768,1
1669,1669,1
1669,1713,1
1669,1669,1
1669,1669,1
1669,1455,1
422,246,1
1669,1669,1
1669,1878,1
1625,1625,1
1669,1669,1
1669,1277,1
1,1669,1
1,1260,1
1,1669,1
1,325,1
1,1669,1
1,644,1
1,1669,1
1,325,1
1,1669,1
1,644,1
1669,1669,1
1669,325,1
1159,359,1
1003,246,1
1625,1625,1
1,1669,1
1,1969,1
1,1669,1
1,1260,1
1,1669,1
1,1431,1
979,246,1
1625,1625,1
1625,1625,1
1,1669,1
1,1969,1
1,1669,1
1,1969,1
1,1669,1
1,1969,1
1,1669,1
1,1391,1
1625,1625,1
498,246,1
1625,1625,1
1625,1625,1
1625,1625,1
1625,1625,1
1,1669,1
1,525,1
1669,966,1
1669,1669,1
1,1669,1
1,525,1
1,352,1
1,1669,1
1,352,1
1,1669,1
422,246,1
1625,1625,1
1,1669,1
1,1448,1
1,1669,1
1,1316,1
1669,26,1
1669,1669,1
1,352,1
1,1669,1
245,245,1
245,1669,1
1,1669,1
1,1969,1
1,1669,1
1,1969,1
498,246,1
1,1669,1
1,612,1
498,246,1
895,279,1
1,1669,1
1,1285,1
1,1669,1
1,1835,1
422,246,1
422,246,1
546,246,1
1077,246,1
1669,1669,1
1669,1822,1
1,1669,1
1,49,1
1,1669,1
1,384,1
1,1669,1
1,1260,1
1,1669,1
1,1969,1
1,1669,1
1,1969,1
498,246,1
520,56,1
498,246,1
1625,1625,1
1669,1669,1
1669,1398,1
1669,1669,1
1669,1398,1
1669,1669,1
1669,1878,1
1669,1669,1
1669,1878,1
1669,1669,1
1669,1878,1
498,246,1
1669,1669,1
1669,321,1
1277,1669,1
1277,1277,1
1839,1669,1
1839,1839,1
498,246,1
498,246,1
1669,1669,1
1669,321,1
1669,1669,1
1669,1031,1
1,1669,1
1,1969,1
1,1669,1
1,1606,1
1669,1669,1
1669,479,1
1669,1669,1
1669,1839,1
1839,1669,1
1839,1839,1
1669,1669,1
1669,1370,1
1669,1669,1
1669,1277,1
1,352,1
1,1669,1
1,1669,1
1,1969,1
1625,1625,1
1669,1669,1
1669,1839,1
1,1732,1
1,1669,1
1,352,1
1,1669,1
498,246,1
1669,352,1
1669,1669,1
1972,246,1
1669,1669,1
1669,1832,1
1669,1669,1
1669,597,1
1669,1669,1
1669,1905,1
1669,155,1
1669,1669,1
1994,895,1
1994,895,1
1669,1189,1
1669,1669,1
1669,1669,1
1669,278,1
1,1732,1
1,1669,1
1,1669,1
1,1235,1
1625,1625,1
310,246,1
446,246,1
1,1669,1
1,1849,1
1669,1669,1
1669,1586,1
1,1669,1
1,1849,1
1,1669,1
1,1431,1
1,1669,1
1,1849,1
1,1669,1
1,1849,1
1,1732,1
1,1669,1
520,56,1
520,246,1
498,246,1
1322,246,1
1115,246,1
103,246,1
498,246,1
318,1,1
1669,1669,1
1669,1398,1
1669,1669,1
1669,1264,1
1669,1669,1
1669,813,1
1669,1669,1
1669,1398,1
1669,26,1
1669,1669,1
1277,1669,1
1277,1277,1
1669,1669,1
1669,2015,1
1669,1669,1
1669,416,1
1669,1669,1
1669,2015,1
1,1732,1
1,1669,1
1,1669,1
1,1028,1
1,1669,1
1,52,1
1669,1669,1
1669,380,1
1669,1669,1
1669,380,1
1,1669,1
1,2029,1
1,1669,1
1,1448,1
1,1669,1
1,1448,1
1669,1669,1
1669,1721,1
1,1669,1
1,1176,1
1,1669,1
1,1176,1
1669,1189,1
1669,1669,1
1669,1669,1
1669,1721,1
1669,1669,1
1669,199,1
498,246,1
1669,1629,1
1669,1669,1
1,1669,1
1,1475,1
1669,1669,1
1669,1277,1
1,1669,1
1,967,1
498,246,1
1625,1625,1
1,993,1
1,1669,1
1,1431,1
1,1669,1
1,1943,1
1,1669,1
1,1849,1
1625,1625,1
1625,1625,1
1669,1669,1
1669,199,1
1669,1669,1
1669,2015,1
1,1669,1
1,52,1
1,1669,1
1,2022,1
1669,1669,1
1669,1277,1
498,246,1
1625,1625,1
498,246,1
1669,1669,1
1669,199,1
1,1669,1
1,1969,1
1,1669,1
1,1969,1
1669,1669,1
1669,1859,1
1,1669,1
1,1849,1
1159,571,1
1624,1238,1
1,1669,1
1,1260,1
1669,1669,1
1669,1171,1
1,1669,1
1,722,1
1,1669,1
1,448,1
1669,1669,1
1669,1633,1
1669,1332,1
1669,1669,1
1,1669,1
1,1075,1
1669,1224,1
1669,1669,1
1,1669,1
1,1969,1
1,1732,1
1,1669,1
498,246,1
1,1669,1
1,1225,1
1277,1669,1
1277,1277,1
1669,1669,1
1669,1507,1
1,1669,1
1,1431,1
1,1669,1
1,612,1
1,1669,1
1,1225,1
1669,1071,1
1669,1669,1
1669,1669,1
1669,868,1
1669,1669,1
1669,868,1
1669,1669,1
1669,868,1
1669,1669,1
1669,868,1
1669,1669,1
1669,868,1
497,246,1
1669,1669,1
1669,868,1
1,1669,1
1,1176,1
1669,1669,1
1669,1721,1
1,1669,1
1,1969,1
1669,1189,1
1669,1669,1
1874,1874,1
1625,1625,1
1669,1669,1
1669,486,1
1669,1669,1
1669,486,1
1,1669,1
1,1260,1
1159,613,1
1669,1120,1
1669,1669,1
1669,1132,1
1669,1669,1
1,1669,1
1,1969,1
1037,449,1
1037,767,1
1037,1159,1
1037,1124,1
1037,1377,1
498,246,1
1625,1625,1
1669,1669,1
1669,1804,1
1669,1669,1
1669,662,1
1669,1669,1
1669,199,1
1669,1669,1
1669,199,1
1669,1669,1
1669,662,1
1,1669,1
1,1969,1
1669,57,1
1669,1669,1
1669,1669,1
1669,1730,1
1669,1669,1
1669,504,1
1669,1669,1
1669,791,1
1,1669,1
1,1969,1
1669,1669,1
1669,1586,1
1669,1669,1
1669,1839,1
1669,1669,1
1669,1917,1
1159,359,1
1159,102,1
498,246,1
1874,1874,1
1339,246,1
498,246,1
1625,1625,1
1669,1669,1
1669,7,1
1,1669,1
1,294,1
1,1669,1
1,950,1
1,1669,1
1,1235,1
1,1732,1
1,1669,1
1,1732,1
1,1669,1
1669,212,1
1669,1669,1
1,1669,1
1,2022,1
498,246,1
1,1669,1
1,1431,1
1,1669,1
1,1969,1
1,1669,1
1,1431,1
1669,155,1
1669,1669,1
1,1669,1
1,1969,1
1,1669,1
1,1969,1
1669,57,1
1669,1669,1
1669,1189,1
1669,1669,1
1669,1669,1
1669,1721,1
1669,1669,1
1669,791,1
1669,1669,1
1669,1277,1
1669,1669,1
1669,1826,1
498,246,1
1625,1625,1
1,1669,1
1,1765,1
120,1669,1
120,120,1
1,1669,1
1,1448,1
1669,1120,1
1669,1669,1
1,1669,1
1,1448,1
1669,1228,1
1669,1669,1
1,1669,1
1,1969,1
1,1669,1
1,1235,1
1669,1669,1
1669,1277,1
1669,1669,1
1669,1586,1
1586,1669,1
1586,1586,1
1586,1669,1
1586,1586,1
1669,1120,1
1669,1669,1
1669,1669,1
1669,1277,1
1,1669,1
1,1235,1
498,246,1
1,1669,1
1,1235,1
1,770,1
1,1669,1
1,1669,1
1,1969,1
1,1669,1
1,1530,1
1,1669,1
1,1530,1
1120,1120,1
1120,1669,1
1669,1120,1
1669,1669,1
1669,1669,1
1669,1783,1
498,246,1
1159,1541,1
1277,1669,1
1277,1277,1
1669,1669,1
1669,630,1
1,352,1
1,1669,1
1669,1669,1
1669,7,1
1669,1669,1
1669,9,1
1,1669,1
1,1849,1
1669,1189,1
1669,1669,1
1,1669,1
1,1969,1
1669,1189,1
1669,1669,1
1669,1669,1
1669,1951,1
498,246,1
1669,1669,1
1669,985,1
1669,1669,1
1669,9,1
1669,1120,1
1669,1669,1
1669,1120,1
1669,1669,1
1120,1120,1
1120,1669,1
1669,1120,1
1669,1669,1
1669,1120,1
1669,1669,1
1669,1669,1
1669,597,1
1669,1669,1
1669,171,1
498,246,1
1625,1625,1
1,1669,1
1,1969,1
1669,1669,1
1669,1783,1
1669,1669,1
1669,1586,1
1,1766,1
1,1669,1
1669,1002,1
1669,1669,1
1669,1002,1
1669,1669,1
1669,1669,1
1669,537,1
498,246,1
1625,1625,1
1,1509,1
1,1669,1
1669,1189,1
1669,1669,1
1,1669,1
1,1836,1
1,1732,1
1,1669,1
1669,1189,1
1669,1669,1
1669,1669,1
1669,1839,1
1341,246,1
1,1669,1
1,1849,1
498,246,1
1669,1669,1
1669,1235,1
1669,26,1
1669,1669,1
497,246,1
1079,1005,1
498,246,1
474,246,1
1669,1189,1
1669,1669,1
1,352,1
1,1669,1
1669,1669,1
1669,1004,1
1,993,1
110,246,1
1669,1189,1
1669,1669,1
1669,1669,1
1669,1878,1
1669,1669,1
1669,1568,1
1,1726,1
1,1669,1
1669,1669,1
1669,1898,1
1669,1669,1
1669,1898,1
1669,1669,1
1669,1586,1
1669,1669,1
1669,985,1
1669,1669,1
1669,1878,1
498,246,1
700,246,1
1625,1625,1
1669,1669,1
1669,1507,1
1669,1669,1
1669,1564,1
1,1669,1
1,1176,1
1,1669,1
1,1260,1
1,1766,1
1,1669,1
1,1669,1
1,314,1
1,1669,1
1,314,1
1669,1669,1
1669,413,1
1669,1669,1
1669,1586,1
498,246,1
1625,1625,1
1258,1258,1
1669,1669,1
1669,1440,1
1669,247,1
1669,1669,1
1669,247,1
1669,1669,1
1669,1669,1
1669,1296,1
1669,1669,1
1669,1951,1
1669,1669,1
1669,1951,1
1669,1189,1
1669,1669,1
702,1669,1
702,702,1
1669,1669,1
1669,1878,1
1669,1669,1
1669,1878,1
1156,246,1
1,993,1
1,1669,1
1,1431,1
1,1669,1
1,1431,1
1669,1669,1
1669,1917,1
1669,1669,1
1669,2027,1
247,247,1
247,1669,1
1625,1625,1
1277,1669,1
1277,1277,1
1669,1669,1
1669,413,1
1,1669,1
1,1475,1
1669,1669,1
1669,1004,1
1625,1625,1
1669,1669,1
1669,1586,1
1625,299,1
1625,1625,1
1159,1629,1
1159,1629,1
1625,1625,1
498,246,1
1,1669,1
1,1969,1
1669,1669,1
1669,1586,1
498,246,1
1,1669,1
1,1431,1
1,1732,1
1,1669,1
1669,1669,1
1669,1839,1
1,1732,1
1,1669,1
498,246,1
1669,1669,1
1669,1586,1
1,352,1
1,1669,1
110,246,1
979,246,1
1,1669,1
1,530,1
1,1669,1
1,1260,1
1,1732,1
1,1669,1
1625,1625,1
1,1669,1
1,644,1
1323,1669,1
1323,1323,1
1,242,1
1,1669,1
1,1669,1
1,1448,1
498,246,1
673,246,1
498,246,1
1,352,1
1,1669,1
1,352,1
1,1669,1
1277,1669,1
1277,1277,1
911,246,1
110,246,1
1,1669,1
1,1496,1
1669,1669,1
1669,1839,1
1669,1669,1
1669,674,1
1,1669,1
1,1260,1
1669,1669,1
1669,674,1
1669,1669,1
1669,674,1
749,1669,1
749,749,1
1159,1768,1
1,1669,1
1,1969,1
1669,1669,1
1669,1826,1
498,246,1
498,246,1
911,246,1
1,1669,1
1,552,1
1842,246,1
1,1669,1
1,317,1
1,1669,1
1,317,1
1,1669,1
1,1260,1
110,246,1
1,1669,1
1,1643,1
1,1669,1
1,1643,1
1,1646,1
1,1669,1
498,246,1
1,1669,1
1,1448,1
110,246,1
498,246,1
1,1669,1
1,16,1
498,246,1
2006,453,1
2006,895,1
2006,1287,1
217,1151,1
217,841,1
1,1669,1
1,1969,1
673,246,1
1277,1669,1
1277,1277,1
1,1669,1
1,1235,1
1669,1669,1
1669,1586,1
1669,1669,1
1669,1839,1
1,1669,1
1,1969,1
1,1669,1
1,1448,1
1,1669,1
1,1475,1
498,246,1
1,1669,1
1,1247,1
1,1669,1
1,644,1
1,1669,1
1,1534,1
1,1669,1
1,1643,1
1669,1669,1
1669,1277,1
1669,1669,1
1669,1586,1
1,1669,1
1,1260,1
498,246,1
1,1669,1
1,1448,1
1,1669,1
1,1225,1
1878,1669,1
1878,1878,1
498,246,1
498,246,1
1,1669,1
1,1969,1
1,1669,1
1,742,1
1,1669,1
1,123,1
1669,1669,1
1669,1826,1
1625,1625,1
1,1669,1
1,1969,1
1669,1770,1
1669,1669,1
1669,1669,1
1669,479,1
1669,1669,1
1669,1586,1
1669,155,1
1669,1669,1
1669,552,1
498,246,1
1669,1669,1
1669,1839,1
911,246,1
1277,1669,1
1277,1277,1
1,1669,1
1,1448,1
110,246,1
1625,1625,1
498,246,1
547,1840,1
1398,1669,1
1398,1398,1
1398,1669,1
1398,1398,1
1398,1669,1
1398,1398,1
1625,1625,1
1,1669,1
1,612,1
1,1669,1
1,612,1
1,1669,1
1,1696,1
1625,1625,1
1625,1625,1
1625,1625,1
1669,1669,1
1669,1826,1
1669,1669,1
1669,1826,1
1,1669,1
1,752,1
1277,1669,1
1277,1277,1
1625,1625,1
1625,1,1
220,56,1
1625,1625,1
841,1151,1
217,1151,1
217,841,1
498,246,1
1625,1625,1
1374,1706,1
1198,1144,1
1768,1874,1
1120,1874,1
1120,1768,1
1768,1120,1
412,1874,1
737,1144,1
1380,1144,1
737,1144,1
737,1144,1
1874,1440,1
1874,1120,1
1874,1768,1
1586,1874,1
1586,1874,1
1874,1586,1
1586,1874,1
1586,1258,1
1586,999,1
1586,1874,1
1586,1874,1
1586,1258,1
1586,999,1
1874,1440,1
1380,1144,1
1239,1144,1
1380,1144,1
1198,1144,1
1578,1144,1
1578,1198,1
1578,1144,1
1578,1239,1
1278,1144,1
1258,1874,1
1706,1061,1
1874,1258,1
1440,1258,1
1440,1258,1
1440,1874,1
1258,1440,1
1258,1144,1
1258,1440,1
1440,1258,1
1198,1144,1
1578,1144,1
1578,1198,1
1278,1578,1
1278,1144,1
1278,1198,1
1278,1578,1
1278,1144,1
1278,1198,1
1278,1578,1
1278,1144,1
1278,1198,1
341,1706,1
1809,1706,1
1198,1278,1
1894,1144,1
903,1278,1
903,1198,1
1380,1144,1
1874,1440,1
1737,115,1
999,1258,1
